trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
38313A627B2278,06:45:00,06:45:00,27633,1,"",0,0,0
38313A627B2278,,,27469,2,"",0,0,0.20733591
38313A627B2278,,,26759,3,"",0,0,0.39991078
38313A627B2278,,,26760,4,"",0,0,0.57766249
38313A627B2278,,,27489,5,"",0,0,0.71204092
38313A627B2278,,,26761,6,"",0,0,0.9499524
38313A627B2278,,,26762,7,"",0,0,1.1232723
38313A627B2278,,,27492,8,"",0,0,1.2912493
38313A627B2278,,,26764,9,"",0,0,1.43205363
38313A627B2278,,,26765,10,"",0,0,1.61993399
38313A627B2278,,,26766,11,"",0,0,1.7070617
38313A627B2278,,,26767,12,"",0,0,1.84400651
38313A627B2278,06:55:00,06:55:00,26768,13,"",0,0,1.98354341
38313A627B2278,,,26769,14,"",0,0,2.1614545
38313A627B2278,,,26770,15,"",0,0,2.38557182
38313A627B2278,,,26772,16,"",0,0,2.59928728
38313A627B2278,,,27499,17,"",0,0,2.9918922
38313A627B2278,,,27500,18,"",0,0,3.16562821
38313A627B2278,,,26774,19,"",0,0,3.28875309
38313A627B2278,,,26776,20,"",0,0,3.582505
38313A627B2278,,,26777,21,"",0,0,3.80193927
38313A627B2278,,,26778,22,"",0,0,4.03213363
38313A627B2278,,,27142,23,"",0,0,4.10804755
38313A627B2278,,,27505,24,"",0,0,4.27616008
38313A627B2278,,,27506,25,"",0,0,4.76064353
38313A627B2278,07:05:00,07:05:00,27508,26,"",0,0,4.91068083
38313A627B2278,,,26782,27,"",0,0,5.0233733
38313A627B2278,,,27511,28,"",0,0,5.18611462
38313A627B2278,,,27513,29,"",0,0,5.42868886
38313A627B2278,,,26814,30,"",0,0,5.63755348
38313A627B2278,,,26783,31,"",0,0,6.4015189
38313A627B2278,,,26784,32,"",0,0,6.48465613
38313A627B2278,,,26785,33,"",0,0,6.65887104
38313A627B2278,,,27514,34,"",0,0,6.77080955
38313A627B2278,,,26815,35,"",0,0,6.85917909
38313A627B2278,,,27515,36,"",0,0,7.14021877
38313A627B2278,07:15:00,07:15:00,26816,37,"",0,0,7.29838153
30991A462B2278,06:45:00,06:45:00,27633,1,"",0,0,0
30991A462B2278,,,27001,2,"",0,0,0.26233267
30991A462B2278,,,27067,3,"",0,0,0.48540465
30991A462B2278,,,27002,4,"",0,0,0.61857219
30991A462B2278,,,27003,5,"",0,0,0.80665346
30991A462B2278,,,27004,6,"",0,0,0.96384538
30991A462B2278,,,27005,7,"",0,0,1.14596646
30991A462B2278,,,27006,8,"",0,0,1.28872658
30991A462B2278,,,27007,9,"",0,0,1.47190899
30991A462B2278,,,27008,10,"",0,0,1.6408074
30991A462B2278,,,27009,11,"",0,0,1.79124603
30991A462B2278,,,27010,12,"",0,0,1.96338806
30991A462B2278,06:55:00,06:55:00,27011,13,"",0,0,2.13310159
30991A462B2278,,,27012,14,"",0,0,2.20839815
30991A462B2278,,,27013,15,"",0,0,2.34253223
30991A462B2278,,,27014,16,"",0,0,2.47896918
30991A462B2278,,,27018,17,"",0,0,2.88250303
30991A462B2278,,,27019,18,"",0,0,3.00883599
30991A462B2278,,,27020,19,"",0,0,3.25254834
30991A462B2278,,,27021,20,"",0,0,3.38635157
30991A462B2278,,,27042,21,"",0,0,3.56333893
30991A462B2278,,,27022,22,"",0,0,3.6886794
30991A462B2278,,,27023,23,"",0,0,3.78922234
30991A462B2278,07:05:00,07:05:00,27024,24,"",0,0,3.89946931
30991A462B2278,,,27025,25,"",0,0,4.00252507
30991A462B2278,,,27026,26,"",0,0,4.32885812
30991A462B2278,,,27027,27,"",0,0,4.50510783
30991A462B2278,,,27251,28,"",0,0,4.64280112
30991A462B2278,,,27028,29,"",0,0,4.907381
30991A462B2278,,,27029,30,"",0,0,5.04366516
30991A462B2278,,,27030,31,"",0,0,5.23708173
30991A462B2278,,,27031,32,"",0,0,5.4229033
30991A462B2278,,,27032,33,"",0,0,5.62484212
30991A462B2278,07:15:00,07:15:00,27033,34,"",0,0,5.86151088
89691A462B2278,14:15:00,14:15:00,28047,1,"",0,0,0
89691A462B2278,14:18:00,14:18:00,781795,2,"",0,0,0.51366553
89691A462B2278,14:23:00,14:23:00,27746,3,"",0,0,3.83887125
89691A462B2278,14:30:00,14:30:00,27745,4,"",0,0,7.86000369
89691A462B2278,14:40:00,14:40:00,27744,5,"",0,0,12.00413545
89691A462B2278,15:10:00,15:10:00,27743,6,"",0,0,35.22533191
89691A462B2278,15:20:00,15:20:00,27742,7,"",0,0,43.27697508
89691A462B2278,15:35:00,15:35:00,781762,8,"",0,0,49.94558821
89691A462B2278,15:45:00,15:45:00,27633,9,"",0,0,51.09029299
89691A462B2278,15:52:00,15:52:00,26786,10,"",0,0,51.63941067
30975A527B2278,12:45:00,12:45:00,27093,1,"",0,0,0
30975A527B2278,,,27091,2,"",0,0,0.16224969
30975A527B2278,,,27641,3,"",0,0,0.63136393
30975A527B2278,,,27632,4,"",0,0,0.86675256
30975A527B2278,,,27615,5,"",0,0,1.11037886
30975A527B2278,,,27617,6,"",0,0,1.27943982
30975A527B2278,,,27616,7,"",0,0,1.48768323
30975A527B2278,,,27618,8,"",0,0,1.85101768
30975A527B2278,,,27619,9,"",0,0,1.92414127
30975A527B2278,12:55:00,12:55:00,27631,10,"",0,0,2.07278173
30975A527B2278,,,27621,11,"",0,0,2.16424613
30975A527B2278,,,27081,12,"",0,0,2.2662036
30975A527B2278,,,27612,13,"",0,0,2.51413387
30975A527B2278,,,27611,14,"",0,0,2.61261011
30975A527B2278,,,27610,15,"",0,0,2.84962735
30975A527B2278,,,27608,16,"",0,0,3.09488766
30975A527B2278,,,27607,17,"",0,0,3.28024208
30975A527B2278,,,27606,18,"",0,0,3.44169015
30975A527B2278,,,27605,19,"",0,0,3.66721529
30975A527B2278,,,27604,20,"",0,0,3.83297037
30975A527B2278,,,27603,21,"",0,0,4.00307804
30975A527B2278,,,27602,22,"",0,0,4.17472874
30975A527B2278,,,27601,23,"",0,0,4.34305267
30975A527B2278,,,27600,24,"",0,0,4.51137828
30975A527B2278,,,27094,25,"",0,0,4.65955966
30975A527B2278,,,27095,26,"",0,0,4.84183387
30975A527B2278,13:05:00,13:05:00,27096,27,"",0,0,4.9958506
30975A527B2278,,,27599,28,"",0,0,5.27420114
30975A527B2278,,,27625,29,"",0,0,5.48802458
30975A527B2278,13:15:00,13:15:00,27633,30,"",0,0,5.76824234
30424A463B2278,07:15:00,07:15:00,27633,1,"",0,0,0
30424A463B2278,,,26806,2,"",0,0,0.43261856
30424A463B2278,,,27430,3,"",0,0,0.51342289
30424A463B2278,,,26807,4,"",0,0,0.64790277
30424A463B2278,,,27635,5,"",0,0,0.88056853
30424A463B2278,,,26809,6,"",0,0,1.11434372
30424A463B2278,,,26810,7,"",0,0,1.24554336
30424A463B2278,,,26811,8,"",0,0,1.44123394
30424A463B2278,,,26812,9,"",0,0,1.61269747
30424A463B2278,,,26820,10,"",0,0,1.90941645
30424A463B2278,,,26821,11,"",0,0,2.06513069
30424A463B2278,07:25:00,07:25:00,26822,12,"",0,0,2.18470964
30424A463B2278,,,26823,13,"",0,0,2.30463088
30424A463B2278,,,26824,14,"",0,0,2.47585458
30424A463B2278,,,27394,15,"",0,0,2.72770233
30424A463B2278,,,27417,16,"",0,0,3.11800202
30424A463B2278,,,27418,17,"",0,0,3.24409882
30424A463B2278,,,27415,18,"",0,0,3.51407074
30424A463B2278,,,26828,19,"",0,0,3.81433806
30424A463B2278,,,26829,20,"",0,0,4.0169623
30424A463B2278,,,27413,21,"",0,0,4.34737809
30424A463B2278,,,27411,22,"",0,0,4.48844315
30424A463B2278,,,26830,23,"",0,0,4.67036695
30424A463B2278,,,27407,24,"",0,0,4.9241192
30424A463B2278,,,27662,25,"",0,0,5.10882022
30424A463B2278,07:35:00,07:35:00,26832,26,"",0,0,5.63871219
30424A463B2278,,,27404,27,"",0,0,5.82927518
30424A463B2278,,,26834,28,"",0,0,5.99184007
30424A463B2278,,,26835,29,"",0,0,6.15956701
30424A463B2278,,,26836,30,"",0,0,6.35032455
30424A463B2278,,,27392,31,"",0,0,6.47949224
30424A463B2278,,,27391,32,"",0,0,6.5466213
30424A463B2278,,,26837,33,"",0,0,6.70213755
30424A463B2278,,,26838,34,"",0,0,6.8909633
30424A463B2278,,,27390,35,"",0,0,6.99343176
30424A463B2278,,,758781,36,"",0,0,7.12521749
30424A463B2278,07:45:00,07:45:00,26839,37,"",0,0,7.32667981
89704A462B2278,18:40:00,18:40:00,781762,1,"",0,0,0
89704A462B2278,18:55:00,18:55:00,27633,2,"",0,0,1.14431351
89704A462B2278,18:57:00,18:57:00,26786,3,"",0,0,1.69343119
89704A462B2278,19:10:00,19:10:00,27742,4,"",0,0,6.51221033
89704A462B2278,19:20:00,19:20:00,27743,5,"",0,0,14.33484955
89704A462B2278,19:50:00,19:50:00,27744,6,"",0,0,37.92213215
89704A462B2278,19:55:00,19:55:00,27745,7,"",0,0,42.14211922
89704A462B2278,20:07:00,20:07:00,27746,8,"",0,0,45.6795988
89704A462B2278,20:20:00,20:20:00,28047,9,"",0,0,51.6919434
30989A527B2278,18:15:00,18:15:00,27633,1,"",0,0,0
30989A527B2278,,,26899,2,"",0,0,0.22582231
30989A527B2278,,,26900,3,"",0,0,0.32811244
30989A527B2278,,,26901,4,"",0,0,0.46110702
30989A527B2278,,,26902,5,"",0,0,0.77010234
30989A527B2278,,,27653,6,"",0,0,0.86401704
30989A527B2278,,,26903,7,"",0,0,0.97250733
30989A527B2278,,,26904,8,"",0,0,1.12444982
30989A527B2278,,,26905,9,"",0,0,1.25739532
30989A527B2278,,,26906,10,"",0,0,1.39929775
30989A527B2278,,,27341,11,"",0,0,1.47856994
30989A527B2278,,,26907,12,"",0,0,1.60118314
30989A527B2278,,,26908,13,"",0,0,1.76943916
30989A527B2278,,,26909,14,"",0,0,1.88562165
30989A527B2278,18:25:00,18:25:00,27346,15,"",0,0,1.97518632
30989A527B2278,,,26911,16,"",0,0,2.6734475
30989A527B2278,,,26914,17,"",0,0,2.95870628
30989A527B2278,,,27349,18,"",0,0,3.30536468
30989A527B2278,,,26916,19,"",0,0,3.54127986
30989A527B2278,,,26917,20,"",0,0,3.74070931
30989A527B2278,,,26918,21,"",0,0,3.90568937
30989A527B2278,,,26919,22,"",0,0,4.04683171
30989A527B2278,,,26920,23,"",0,0,4.25651096
30989A527B2278,,,26921,24,"",0,0,4.4154257
30989A527B2278,,,26922,25,"",0,0,4.54015397
30989A527B2278,,,26923,26,"",0,0,4.82322656
30989A527B2278,,,27350,27,"",0,0,5.08554466
30989A527B2278,,,27351,28,"",0,0,5.39074388
30989A527B2278,,,27348,29,"",0,0,5.88321823
30989A527B2278,,,26915,30,"",0,0,6.05054865
30989A527B2278,,,27347,31,"",0,0,6.16671304
30989A527B2278,,,26912,32,"",0,0,6.64819587
30989A527B2278,,,27352,33,"",0,0,6.82370849
30989A527B2278,,,26913,34,"",0,0,6.96824502
30989A527B2278,,,26925,35,"",0,0,7.20733493
